occupation,pagerank_score,similarity_focus
blockchain developer,0.91,distributed systems and security
mobile application developer,0.87,mobile ecosystems and UX
embedded systems software developer,0.83,hardware-software integration
ICT application developer,0.79,enterprise digital systems
cloud software engineer,0.76,cloud-native infrastructure
AI software developer,0.74,AI-assisted systems development
DevOps engineer,0.71,automation and deployment pipelines
cybersecurity software engineer,0.69,secure software systems
full stack developer,0.66,end-to-end application development
data-driven software engineer,0.64,analytics-oriented systems
