hh_number,humics_skill,related_skills,hybrid_skill_name
1,communication,"utilise Microsoft Office software; have proficiency in MS Office; SlideDog; Preseria",digital communication proficiency
2,manage personal professional development,"carry out multitasking; visual presentation techniques; use Microsoft Office software",self-managed professional growth
3,cooperate with colleagues,"give live presentation; coordinate communication within a team; delegate responsibilities",team synergy and collaborative presentation
4,solve technical problems,"apply change management; office operating system; research; identify and resource your continuing professional development",creative and tech-driven problem solving
5,develop strategy to solve problems,"manage human resources; talent management strategies; liaise with managers",provide strategic solutions and manage talent
6,create solutions to problems,"coaching techniques; write English; teach writing",perform internal and creative coaching for problem solving
7,adapt to change,"Slide Bureau; correspondence; able to use presentation software",adaptive presentation and communication skills
8,solve problems,"mathematics; perform multi tasks at the same time; CustomShow",be proficient at technical and analytical problem solving
9,show empathy,"provide customer service; design experiences for customers; satisfy client requirements",empathetic customer-centric relations
10,negotiate compromises,"Evernote Presentations; correspondence; project management",collaborative negotiation and project handling
