humics_skill,frequency
communication,315
manage personal professional development,158
cooperate with colleagues,132
solve technical problems,127
develop strategy to solve problems,124
create solutions to problems,122
adapt to change,119
solve problems,117
show empathy,116
negotiate compromises,114
maintain relationship with customers,103
personal development,96
own management skills,91
build team spirit,72
making decisions,64
coaching techniques,58
use presentation software,47
demonstrate willingness to learn,43
think analytically,38
perform project management,34
